antigen,Danger,Safe,class
91,0.015873,0.5,1
92,0.015873,0.5,1
93,0.078373,0,1
94,0.079365,0,1
95,0.047619,0.5000172,1
96,0,0,1
97,0.047619,0.5,1
98,0.047619,0.5,1
99,0.015873,0.5,1
100,0.015873,0.5,1
101,0.015873,0.5,1
102,0.015873,0.5,1
103,0,0.5,1
104,0.015873,0.5,1
105,0.015873,0.5,1
106,0.015873,0.5,1
107,0.015873,0.5,1
108,0.047619,0.5,1
109,0.047619,0.5,1
110,0.047619,0.5,1
111,0.015873,0.5,1
112,0.015873,0.5,1
113,0.015873,0.5,1
114,0.015873,0.5,1
115,0.015873,0.5,1
116,0.015873,0.5,1
117,0.047619,0.5000172,1
118,0.015873,0.5,1
119,0.015873,0.5,1
120,0.015873,0.5,1
121,0,0.5,1
122,0.015873,0.5,1
123,0.047619,0.500344,1
124,0.015873,0.5,1
125,0.0555555,0,1
126,0.031746,0,1
127,0.063492,0,1
128,0.015873,0.5,1
129,0.015873,0.5,1
130,0.015873,0.5,1
131,0.015873,0.5,1
132,0.0238095,0.00031,1
133,0.015873,0.5,1
134,0.015873,0.5,1
135,0.015873,0.5,1
136,0.015873,0.5,1
137,0.047619,0.5,1
138,0.015873,0.5,1
139,0.015873,0.5,1
140,0.015873,0.5,1
141,0.015873,0.5,1
142,0.047619,0.5,1
143,0.015873,0.5,1
144,0.078373,0,1
145,0.031746,0,1
146,0.015873,0.5,1
147,0.015873,0.5,1
148,0.0238095,0.50703886,1
149,0.015873,0.5,1
150,0.015873,0.5,1
151,0,0.5,1
152,0.015873,0.5,1
153,0.031746,0,1
154,0.015873,0.5,1
155,0.1964285,0,1
156,0.015873,0.5,1
157,0.015873,0.5,1
158,0.015873,0.5,1
159,0.015873,0.5,1
160,0.0079365,0,1
161,0,0,1
162,0.015873,0.5,1
163,0.235119,0,1
164,0.015873,0.5,1
165,0,0.5,1
166,0.015873,0.5,1
167,0.015873,0.5,1
168,0.0396825,0,1
169,0.047619,0.5000172,1
170,0.047619,0.5,1
171,0.015873,0.5,1
172,0.015873,0.5,1
173,0.015873,0.5,1
174,0.031746,0,1
175,0.031746,0,1
176,0.015873,0.5,1
177,0.015873,0.5,1
178,0.047619,0.5000172,1
179,0.015873,0.5,1
180,0.015873,0.5,1
181,0.0873015,0,1
182,0.015873,0.5,1
183,0.0555555,0,1
184,0.078373,0,1
185,0.015873,0.5,1
186,0.015873,0.5,1
187,0.015873,0.5,1
188,0.015873,0.5,1
189,0,0,1
190,0.047619,0.5,1
191,0.015873,0.5,1
192,0.078373,0,1
193,0.015873,0.5,1
194,0.015873,0.5,1
195,0.015873,0.5,1
196,0.015873,0.5,1
197,0.015873,0.5,1
198,0.015873,0.5,1
199,0.095238,0,1
200,0.015873,0.5,1
201,0.031746,0,1
202,0.031746,0,1
203,0.078373,0,1
204,0.015873,0.5,1
205,0.031746,0,1
206,0.015873,0.5,1
207,0.047619,0.5000172,1
208,0.015873,0.5,1
209,0.0079365,0,1
210,0.1031745,0,1
211,0.015873,0.5,1
212,0,0,1
213,0.031746,0,1
214,0.0238095,0.634323478,1
215,0.015873,0.5,1
216,0.031746,0,1
217,0.015873,0.5,1
218,0.015873,0.5,1
219,0.015873,0.5,1
220,0.0396825,0,1
221,0.078373,0,1
222,0.015873,0.5,1
223,0.015873,0.5,1
224,0,0.5,1
225,0.0238095,0.5001205,1
226,0.047619,0.500172,1
227,0.015873,0.5,1
228,0.031746,0,1
229,0.015873,0.5,1
230,0.015873,0.5,1
231,0,0,1
232,0.015873,0.5,1
233,0.015873,0.5,1
234,0.015873,0.5,1
235,0.047619,0.5,1
236,0.015873,0.5,1
237,0.015873,0.5,1
238,0.031746,0,1
239,0.0396825,0,1
240,0.015873,0.5,1
241,0.015873,0.5,1
242,0.0079365,0.099542216,1
243,0.015873,0.5,1
244,0.015873,0.5,1
245,0.015873,0.5,1
246,0.031746,0,1
247,0.047619,0.5,1
248,0.0555555,0,1
249,0.015873,0.5,1
250,0.047619,0.5,1
251,0.015873,0.5,1
252,0.015873,0.5,1
253,0.015873,0.5,1
254,0.015873,0.5,1
255,0.015873,0.5,1
256,0.031746,0.009327781,1
257,0.031746,0,1
258,0.0396825,0,1
259,0.095238,0,1
260,0.015873,0.5,1
261,0.078373,0,1
262,0,0.5,1
263,0.015873,0.5,1
264,0.015873,0.5,1
265,0.015873,0.5,1
266,0.015873,0.5,1
267,0.015873,0.5,1
268,0.031746,0,1
269,0.0079365,0,1
270,0.031746,0,1
271,0.047619,0.5000344,1
272,0.047619,0.500069,1
273,0.015873,0.5,1
274,0.015873,0.5,1
275,0.015873,0.5,1
276,0.095238,0,1
277,0.015873,0.5,1
278,0.015873,0.5,1
279,0.015873,0.5,1
280,0.015873,0.5,1
281,0.031746,0,1
282,0.0714285,0.500516298,1
283,0.0079365,0.179929784,1
284,0.0079365,0.177709703,1
285,0.172619,0.5,1
286,0.047619,0.5,1
287,0.015873,0.5,1
288,0.031746,0,1
289,0.063492,0,1
290,0.015873,0.5,1
291,0.015873,0.5,1
292,0.015873,0.5,1
293,0.031746,0,1
294,0.015873,0.5,1
295,0.078373,0,1
296,0.0079365,0,1
297,0.031746,0.000482,1
298,0.047619,0.5,1
299,0.015873,0.5,1
300,0.015873,0.5,1
301,0.015873,0.5,1
302,0.015873,0.5,1
303,0.095238,0,1
304,0.031746,0,1
305,0.015873,0.5,1
306,0.031746,0,1
307,0.015873,0.5,1
308,0.031746,0,1
309,0.0238095,0.503476405,1
310,0.0079365,0.5,1
311,0.015873,0.5,1
312,0.015873,0.5,1
313,0.015873,0.5,1
314,0.031746,0,1
315,0,0.5,1
316,0.063492,0,1
317,0.031746,0,1
318,0.015873,0.5,1
319,0.015873,0.5,1
320,0.015873,0.5,1
321,0.015873,0.5,1
322,0.015873,0.5,1
323,0.047619,0.500069,1
324,0.015873,0.5,1
325,0.015873,0.5,1
326,0.047619,0.5000172,1
327,0.015873,0.5,1
328,0.015873,0.5,1
329,0.015873,0.5,1
330,0.0079365,0.052438647,1
331,0.0079365,0.022837573,1
332,0.015873,0.5,1
333,0,0.5,1
334,0.015873,0.5,1
335,0.015873,0.5,1
336,0.015873,0.5,1
337,0.015873,0.5,1
338,0.015873,0.5,1
339,0.0079365,0.014800537,1
340,0.015873,0.5,1
341,0.015873,0.5,1
342,0.031746,0,1
343,0.031746,0,1
344,0.015873,0.5,1
345,0.015873,0.5,1
346,0.047619,0.5,1
347,0.015873,0.508174715,1
348,0.047619,0.5001375,1
349,0.015873,0.5,1
350,0.015873,0.5,1
351,0.0714285,0.5004645,1
352,0.031746,0,1
353,0.015873,0.5,1
354,0,0,1
355,0.015873,0.5,1
356,0.078373,0,1
357,0.047619,0.5000344,1
358,0.078373,0,1
359,0.031746,0,1
360,0.015873,0.5,1
361,0.015873,0.5,1
362,0.0079365,0.087168279,1
363,0.031746,0,1
364,0.0555555,0,1
365,0.111111,0,1
366,0.015873,0.5,1
367,0.095238,0,1
368,0.265873,0.5,1
369,0.015873,0.5,1
370,0.015873,0.5,1
371,0.015873,0.5,1
372,0.015873,0.5,1
373,0.031746,0,1
374,0.0079365,0.034161705,1
375,0,0.5,1
376,0.1190475,0,1
377,0.031746,0,1
378,0.015873,0.5,1
379,0.0396825,8.6E-05,1
380,0.095238,0,1
381,0.047619,0.5,1
382,0.031746,0,1
383,0.031746,0,1
384,0.047619,0.5000172,1
385,0.015873,0.5,1
386,0.031746,0,1
387,0.015873,0.5,1
388,0.015873,0.5,1
389,0.0396825,0,1
390,0.015873,0.5,1
391,0.015873,0.5,1
392,0.047619,0.5,1
393,0.015873,0.5,1
394,0.126984,0.5,1
395,0,0.5,1
396,0.015873,0.5,1
397,0.015873,0.5,1
398,0.047619,0.5001375,1
399,0.015873,0.5,1
400,0.078373,0,1
401,0.047619,0.5000172,1
402,0.015873,0.5,1
403,0.015873,0.5,1
404,0.015873,0.5,1
405,0.015873,0.5,1
406,0.0079365,0.099008708,1
407,0.0714285,0.500533508,1
408,0.015873,0.5,1
409,0,0.5,1
410,0.047619,0.5,1
411,0.031746,0,1
412,0.015873,0.5,1
413,0.015873,0.5,1
414,0.015873,0.5,1
415,0,0.5,1
416,0.015873,0.5,1
417,0.047619,0.5000172,1
418,0.0079365,0.5,1
419,0,0.5,1
420,0.047619,0.5000344,1
421,0,0.5000344,1
422,0.015873,0.5,1
423,0.031746,0,1
424,0.015873,0.5,1
425,0.047619,0.5000515,1
426,0.015873,0.5,1
427,0.0079365,0,1
428,0.015873,0.5,1
429,0.015873,0.5,1
430,0.015873,0.5,1
431,0.047619,0.500086,1
432,0.015873,0.5,1
433,0.015873,0.5,1
434,0.015873,0.5,1
435,0,0.5,1
436,0.015873,0.5,1
437,0.015873,0.5,1
438,0.0396825,0.0001375,1
439,0.015873,0.5,1
440,0.031746,0,1
441,0.031746,0.084862149,1
442,0.3849205,0.5,1
443,0.015873,0.5,1
444,0.015873,0.5,1
445,0.015873,0.5,1
446,0.047619,0.5,1
447,0.015873,0.5,1
448,0.063492,0,1
449,0.015873,0.5,1
450,0.063492,0,1
451,0.047619,0.5000172,1
452,0.031746,0,1
453,0.015873,0.5,1
454,0.031746,0,1
455,0.015873,0.5,1
456,0.015873,0.5,1
457,0.015873,0.5,1
458,0.015873,0.5,1
459,0.015873,0.5,1
460,0.078373,0,1
461,0.015873,0.5,1
462,0.047619,0.5,1
463,0.047619,0.5000344,1
464,0.047619,0.5000344,1
465,0.047619,0.5,1
466,0.031746,0,1
467,0.0079365,0,1
468,0.078373,0,1
469,0.015873,0.5,1
470,0.015873,0.5,1
471,0.015873,0.5,1
472,0.015873,0.5,1
473,0.015873,0.5,1
474,0.015873,0.5,1
475,0.078373,0,1
476,0.015873,0.5,1
477,0.265873,0.5,1
478,0.031746,0,1
479,0.015873,0.5,1
480,0.015873,0.5,1
481,0.015873,0.5,1
482,0.015873,0.5,1
483,0.047619,0.5,1
484,0,0.5,1
485,0.015873,0.5,1
486,0.015873,0.5,1
487,0.015873,0.5,1
488,0.0396825,0,1
489,0.015873,0.5,1
490,0.047619,0.5,1
491,0.047619,0.5,1
492,0,0.5,1
493,0.047619,0.5,1
494,0.031746,0,1
495,0.047619,0.5000172,1
496,0.015873,0.5,1
497,0,0.5,1
498,0.031746,0,1
499,0,0.5,1
500,0.031746,0,1
501,0.031746,0,1
502,0.015873,0.5,1
503,0.4474205,0.670515954,1
504,0.0238095,0.006143944,1
505,0,0.5,1
506,0.015873,0.5,1
507,0.095238,0,1
508,0.078373,0,1
509,0.015873,0.5,1
510,0.015873,0.5,1
511,0.015873,0.5,1
512,0.078373,0,1
513,0.015873,0.5,1
514,0.3363095,0.513750732,1
515,0.015873,0.5,1
516,0.015873,0.5,1
517,0.0079365,0,1
518,0.015873,0.5,1
519,0.015873,0.5,1
520,0.015873,0.5,1
521,0.047619,0.5000172,1
522,0.015873,0.5,1
523,0.031746,0,1
524,0.015873,0.5,1
525,0.015873,0.5,1
526,0.015873,0.5,1
527,0.015873,0.5,1
528,0.015873,0.5,1
529,0.063492,0,1
530,0.015873,0.5,1
531,0.031746,0,1
532,0.015873,0.5,1
533,0.1488095,6.9E-05,1
534,0.015873,0.5,1
535,0.078373,0,1
536,0,0.5000515,1
537,0.0079365,0.265635219,1
538,0.0079365,0.041544763,1
539,0.031746,0,1
540,0.015873,0.5,1
541,0.015873,0.5,1
542,0.015873,0.5,1
543,0.047619,0.5,1
544,0.015873,0.5,1
545,0.047619,0.5001035,1
546,0.015873,0.5,1
547,0,0,1
548,0.015873,0.5,1
549,0.015873,0.5,1
550,0,0.5,1
551,0.047619,0.5,1
552,0.015873,0.5,1
553,0.015873,0.5,1
554,0.015873,0.5,1
555,0.031746,0,1
556,0.047619,0.5,1
557,0.015873,0.5,1
558,0.031746,0,1
559,0.1031745,1.72E-05,1
560,0.015873,0.5,1
561,0.0079365,0.146043438,1
562,0.031746,0,1
563,0.031746,0,1
564,0.047619,0.5,1
565,0.015873,0.5,1
566,0.047619,0.5,1
567,0.031746,0,1
568,0.015873,0.5,1
569,0.015873,0.5,1
570,0.140873,0.5,1
571,0.015873,0.5,1
572,0.015873,0.5,1
573,0.015873,0.5,1
574,0.047619,0.5000172,1
575,0.235119,0,1
576,0.015873,0.5,1
577,0.015873,0.5,1
578,0.015873,0.5,1
579,0.015873,0.5,1
580,0.015873,0.5,1
581,0,0.5,1
582,0.015873,0.5,1
583,0.015873,0.5,1
584,0,0.5,1
585,0.015873,0.5,1
586,0.015873,0.5,1
587,0.015873,0.5,1
588,0.015873,0.5,1
589,0.015873,0.5,1
590,0.031746,0,1
591,0.015873,0.5,1
592,0.078373,0,1
593,0.111111,0,1
594,0.0555555,0,1
595,0.0396825,1.72E-05,1
596,0.015873,0.5,1
597,0.031746,0,1
598,0.4474205,0.656851272,1
599,0.015873,0.5,1
600,0.015873,0.5,1
601,0.047619,0.500172,1
602,0.047619,0.5000515,1
603,0.031746,0,1
604,0.015873,0.5,1
605,0.015873,0.5,1
606,0.172619,0,1
607,0.015873,0.5,1
608,0.015873,0.5,1
609,0.047619,0.500172,1
610,0.015873,0.5,1
611,0.015873,0.5,1
612,0.015873,0.5,1
613,0.047619,0.5000172,1
614,0.031746,0,1
615,0.031746,0,1
616,0.015873,0.5,1
617,0.015873,0.5,1
618,0.015873,0.5,1
619,0.015873,0.5,1
620,0.015873,0.501015386,1
621,0.031746,0,1
622,0.015873,0.5,1
623,0,0.5,1
624,0.031746,0,1
625,0.015873,0.5,1
626,0.015873,0.5,1
627,0.031746,0,1
628,0,0,1
629,0.031746,0,1
630,0,0.5,1
631,0.031746,0,1
632,0.047619,0.5000344,1
633,0.015873,0.5,1
634,0,0.5000344,1
635,0.031746,0,1
636,0.031746,0,1
637,0.047619,0.5,1
638,0.015873,0.5,1
639,0.047619,0.5000172,1
640,0.015873,0.5,1
641,0.015873,0.5,1
642,0.015873,0.5,1
643,0.031746,0,1
644,0.015873,0.5,1
645,0.015873,0.5,1
646,0.031746,0,1
647,0.015873,0.5,1
648,0.015873,0.5,1
649,0.015873,0.5,1
650,0.078373,0,1
651,0.0396825,0,1
652,0.015873,0.5,1
653,0.047619,0.5,1
654,0.0396825,0,1
655,0.015873,0.5,1
656,0.015873,0.5,1
657,0.078373,0,1
658,0.0238095,0.576893953,1
659,0.015873,0.5,1
660,0.079365,0,1
661,0.031746,0,1
662,0.015873,0.5,1
663,0.015873,0.5,1
664,0,0,1
665,0.015873,0.5,1
666,0.015873,0.5,1
667,0.047619,0.5,1
668,0.031746,0,1
669,0.047619,0.5000172,1
670,0.015873,0.5,1
671,0.015873,0.5,1
672,0.031746,0,1
673,0.031746,0,1
674,0.015873,0.5,1
675,0.0079365,0,1
676,0.015873,0.5,1
677,0.031746,0,1
678,0.015873,0.5,1
679,0.015873,0.5,1
680,0.015873,0.5,1
681,0.015873,0.5,1
682,0.015873,0.5,1
683,0.015873,0.5,1
684,0.015873,0.5,1
685,0.031746,0,1
686,0.015873,0.5,1
687,0.0714285,0.5004645,1
688,0.015873,0.5,1
689,0.095238,0,1
690,0.015873,0.5,1
691,0.015873,0.5,1
692,0.015873,0.5,1
693,0.015873,0.5,1
694,0.015873,0.5,1
695,0.063492,0,1
696,0.031746,0,1
697,0.047619,0.5,1
698,0.015873,0.5,1
699,0.031746,0,1
700,0,0,1
701,0.015873,0.5,1
702,0.015873,0.5,1
703,0.015873,0.5,1
704,0.015873,0.5,1
705,0.015873,0.5,1
706,0.015873,0.5,1
707,0.015873,0.5,1
708,0.015873,0.5,1
709,0.015873,0.5,1
710,0,0.5,1
711,0.015873,0.5,1
712,0.078373,0,1
713,0.015873,0.5,1
714,0.015873,0.5,1
715,0.015873,0.5,1
716,0.015873,0.5,1
717,0.015873,0.5,1
718,0.015873,0.5,1
719,0.031746,0,1
720,0.031746,0,1
721,0.047619,0.5000172,1
722,0.031746,0.000499,1
723,0.015873,0.5,1
724,0.031746,0,1
725,0.015873,0.5,1
726,0.0079365,0.5,1
727,0.015873,0.5,1
728,0.015873,0.5,1
729,0.031746,0,1
730,0.015873,0.5,1
731,0,0.5,1
732,0.4474205,0.148435618,1
733,0.015873,0.5,1
734,0.015873,0.5,1
735,0.095238,0,1
736,0.015873,0.5,1
737,0.015873,0.5,1
738,0.015873,0.5,1
739,0.015873,0.5,1
740,0.015873,0.5,1
741,0.0396825,0,1
742,0,0,1
743,0.015873,0.5,1
744,0.078373,0,1
745,0.015873,0.5,1
746,0.0079365,0.147248133,1
747,0.015873,0.5,1
748,0.015873,0.5,1
749,0.031746,0,1
750,0.015873,0.5,1
751,0.047619,0.5,1
752,0,0,1
753,0.095238,0,1
754,0,0,1
755,0.015873,0.5,1
756,0.015873,0.5,1
757,0.047619,0.5000172,1
758,0.015873,0.5,1
759,0.015873,0.5,1
760,0,0.5000344,1
761,0.015873,0.5,1
762,0.015873,0.5,1
763,0.015873,0.5,1
764,0.015873,0.5,1
765,0.015873,0.5,1
766,0.078373,0,1
767,0,0.5,1
768,0.079365,0,1
769,0.015873,0.5,1
770,0.015873,0.5,1
771,0.015873,0.5,1
772,0.2738095,0,1
773,0.031746,0,1
774,0.047619,0.5,1
775,0.031746,0,1
776,0.015873,0.5,1
777,0.031746,0,1
778,0.0396825,1.72E-05,1
779,0.015873,0.5,1
780,0.015873,0.5,1
781,0.015873,0.5,1
782,0.015873,0.5,1
783,0,0.5,1
784,0.015873,0.5,1
785,0.015873,0.5,1
786,0.015873,0.5,1
787,0.015873,0.5,1
788,0.015873,0.5,1
789,0.031746,0,1
790,0.031746,0,1
791,0.015873,0.5,1
792,0,0.5,1
793,0.015873,0.5,1
794,0.1488095,1.72E-05,1
795,0,0.5,1
796,0.078373,0,1
797,0.015873,0.5,1
798,0.0238095,0.5000344,1
799,0.015873,0.5,1
800,0.0714285,0.5004475,1
801,0.031746,0,1
802,0.031746,0,1
803,0.015873,0.5,1
804,0.015873,0.5,1
805,0.015873,0.5,1
806,0.015873,0.5,1
807,0.015873,0.5,1
808,0.015873,0.5,1
809,0.031746,0,1
810,0.015873,0.5,1
811,0.047619,0.5,1
812,0.015873,0.5,1
813,0.015873,0.5,1
814,0.015873,0.5,1
815,0.047619,0.5000172,1
816,0.015873,0.5,1
817,0.015873,0.5,1
818,0.015873,0.5,1
819,0.047619,0.5,1
820,0.015873,0.5,1
821,0.203373,0,1
822,0.031746,0,1
823,0.015873,0.5,1
824,0.015873,0.5,1
825,0.015873,0.5,1
826,0.0396825,0,1
827,0.015873,0.5,1
828,0.015873,0.5,1
829,0.047619,0.5000172,1
830,0.015873,0.5,1
831,0.047619,0.5,1
832,0.047619,0.5000344,1
833,0.015873,0.5,1
834,0.015873,0.5,1
835,0.015873,0.5,1
836,0.015873,0.5,1
837,0.015873,0.5,1
838,0.015873,0.5,1
839,0.015873,0.5,1
840,0.031746,0,1
841,0.015873,0.5,1
842,0.078373,0,1
843,0.015873,0.5,1
844,0.015873,0.5,1
845,0.031746,0,1
846,0.015873,0.5,1
847,0,0.5,1
848,0.015873,0.5,1
849,0.0079365,0.093105704,1
850,0,0,1
851,0.078373,0,1
852,0.265873,0.5,1
853,0.015873,0.5,1
854,0.015873,0.5,1
855,0.142857,0,1
856,0.015873,0.5,1
857,0.015873,0.5,1
858,0.015873,0.504336902,1
859,0.015873,0.5,1
860,0.031746,0,1
861,0.0238095,0.0001205,1
862,0,3.44E-05,1
863,0.015873,0.5,1
864,0.047619,0.5000172,1
865,0.047619,0.5000172,1
866,0.078373,0,1
867,0.0079365,0.5,1
868,0.0238095,0.5001205,1
869,0.047619,0.5000172,1
870,0.015873,0.5,1
871,0.1507935,0.5,1
872,0,0,1
873,0.015873,0.5,1
874,0.047619,0.5,1
875,0.047619,0.5000172,1
876,0.031746,0,1
877,0.015873,0.5,1
878,0.047619,0.5,1
879,0.015873,0.5,1
880,0.078373,0,1
881,0.078373,0,1
882,0.015873,0.5,1
883,0.047619,0.5,1
884,0.4474205,0.51886208,1
885,0.015873,0.5,1
886,0.015873,0.5,1
887,0.015873,0.5,1
888,0.063492,0,1
889,0.031746,0,1
890,0,0.5,1
891,0.111111,0.5,1
892,0.031746,0,1
893,0.015873,0.5,1
894,0.015873,0.5,1
895,0.015873,0.5,1
896,0.015873,0.5,1
897,0.015873,0.5,1
898,0.015873,0.5,1
899,0.0396825,0,1
900,0.063492,5.15E-05,1
901,0.047619,0.5,1
902,0.063492,0,1
903,0.078373,0,1
904,0.015873,0.5,1
905,0.172619,0,1
906,0.111111,0,1
907,0.015873,0.5,1
908,0.047619,0.5000172,1
909,0.015873,0.5,1
910,0.015873,0.5,1
911,0.047619,0.5,1
912,0,0,1
913,0.015873,0.5,1
914,0.015873,0.5,1
915,0.0079365,0,1
916,0.015873,0.5,1
917,0.078373,0,1
918,0.0079365,0,1
919,0.0714285,1.72E-05,1
920,0.015873,0.5,1
921,0.015873,0.5,1
922,0.015873,0.5,1
923,0.015873,0.5,1
924,0.031746,0,1
925,0.015873,0.5,1
926,0.047619,0.5000172,1
927,0.015873,0.5,1
928,0.047619,0.5,1
929,0.0079365,0.051096273,1
930,0.0396825,0,1
931,0.015873,0.5,1
932,0.015873,0.5,1
933,0.047619,0.5,1
934,0,0.5,1
935,0.0079365,0.01182322,1
936,0.063492,1.72E-05,1
937,0.031746,0,1
938,0.015873,0.5,1
939,0.047619,0.5,1
940,0.015873,0.5,1
941,0.015873,0.5,1
942,0.078373,0,1
943,0.015873,0.5,1
944,0.015873,0.5,1
945,0.0714285,0.500619558,1
946,0.015873,0.5,1
947,0.015873,0.5,1
948,0.015873,0.5,1
949,0.047619,0.5000172,1
950,0.015873,0.5,1
951,0.015873,0.5,1
952,0.015873,0.5,1
953,0.031746,0,1
954,0.015873,0.5,1
955,0.422619,0.5001035,1
956,0.031746,0,1
957,0.047619,0.500413,1
958,0,0.5,1
959,0.0079365,0,1
960,0.078373,0,1
961,0.015873,0.5,1
962,0.015873,0.5,1
963,0.015873,0.5,1
964,0,0.5,1
965,0.015873,0.5,1
966,0.015873,0.5,1
967,0,0.5,1
968,0.031746,0,1
969,0.078373,0,1
970,0.0714285,0.5003785,1
971,0,0.5,1
972,0.078373,0,1
973,0.015873,0.5,1
974,0.015873,0.5,1
975,0.031746,0,1
976,0.078373,0,1
977,0.047619,0.5,1
978,0.015873,0.5,1
979,0.015873,0.5,1
980,0.015873,0.5,1
981,0.015873,0.5,1
982,0.047619,0.5000344,1
983,0.015873,0.5,1
984,0.015873,0.5,1
985,0.015873,0.5,1
986,0.0714285,0.000533508,1
987,0.047619,0.5,1
988,0.015873,0.5,1
989,0.015873,0.5,1
990,0.015873,0.5,1
991,0.0079365,0,1
992,0.015873,0.5,1
993,0.015873,0.5,1
994,0.078373,0,1
995,0.031746,0,1
996,0.047619,0.5,1
997,0.015873,0.5,1
998,0.015873,0.5,1
999,0.015873,0.5,1
1000,0.031746,0,1
1001,0.4474205,0.662306819,1
1002,0,0.5,1
1003,0.031746,0,1
1004,0.015873,0.5,1
1005,0.015873,0.5,1
1006,0.031746,0,1
1007,0.015873,0.5,1
1008,0.015873,0.5,1
1009,0.031746,0,1
1010,0.031746,0,1
1011,0.047619,0.5,1
1012,0.031746,0,1
1013,0.015873,0.5,1
1014,0.031746,0,1
1015,0.047619,0.5,1
1016,0.078373,0,1
1017,0.015873,0.5,1
1018,0,0,1
1019,0.015873,0.5,1
1020,0.047619,0.500086,1
1021,0.031746,0,1
1022,0.015873,0.5,1
1023,0.015873,0.5,1
1024,0.015873,0.5,1
1025,0.015873,0.5,1
1026,0.015873,0.5,1
1027,0.015873,0.5,1
1028,0.015873,0.5,1
1029,0.031746,0,1
1030,0,0,1
1031,0.015873,0.5,1
1032,0.0079365,0,1
1033,0.015873,0.5,1
1034,0.015873,0.5,1
1035,0,0,1
1036,0.031746,0,1
1037,0,0.5,1
1038,0.015873,0.5,1
1039,0.047619,0.5000172,1
1040,0.047619,0.5,1
1041,0.015873,0.5,1
1042,0.015873,0.5,1
1043,0.235119,0,1
1044,0.0079365,0.029497815,1
1045,0.031746,0,1
1046,0.047619,0.5,1
1047,0.031746,0,1
1048,0.095238,0,1
1049,0.063492,0,1
1050,0.015873,0.5,1
1051,0.031746,0,1
1052,0.031746,0,1
1053,0.015873,0.5,1
1054,0,0.5,1
1055,0.047619,0.500086,1
1056,0.015873,0.5,1
1057,0.015873,0.5,1
1058,0.015873,0.5,1
1059,0.047619,0.5,1
1060,0.015873,0.5,1
1061,0.015873,0.5,1
1062,0.015873,0.5,1
1063,0.0555555,0,1
1064,0.047619,0.500327,1
1065,0.015873,0.5,1
1066,0,0.5,1
1067,0.015873,0.5,1
1068,0.0079365,0,1
1069,0.079365,0,1
1070,0.015873,0.5,1
1071,0.015873,0.5,1
1072,0.2738095,0,1
1073,0.015873,0.500086,1
1074,0.015873,0.5,1
1075,0.015873,0.5,1
1076,0.015873,0.5,1
1077,0.015873,0.5,1
1078,0.015873,0.5,1
1079,0.203373,0,1
1080,0.0079365,0,1
1081,0.0555555,0,1
1082,0.015873,0.5,1
1083,0.015873,0.5,1
1084,0.0079365,0.5001205,1
1085,0.015873,0.5,1
1086,0.031746,0,1
1087,0,0.5,1
1088,0.015873,0.5,1
1089,0.047619,0.5000172,1
1090,0.015873,0.5,1
1091,0.015873,0.5,1
1092,0.047619,0.5,1
1093,0.015873,0.5,1
1094,0,0,1
1095,0.015873,0.5,1
1096,0.031746,0,1
1097,0.015873,0.5,1
1098,0.047619,0.5,1
